,Post
20,Top-30 Automation Engineer Interview Questions (+Answers)  https://hubs.la/Q01D2mg50#testing #qa #interview
21,VarSigma announces virtual classroom sessions for Lean Six Sigma Green Belt Certification
22,Shiva 🙏 #mahashivratri #omnamahshivaya
23,"We kicked off Epoque@Prastuti 2023 with a bang! Our Inaugural Ceremony was filled with stunning performances.The Inaugural Ceremony of Epoque@Prastuti 2023 was held on March 2nd, 2023. Our talented participants put on an incredible show, showcasing their skills in various disciplines. The audience was blown away by the creativity and passion on display by our talented performers. In addition to the fantastic performances, we also unveiled our logo, representing the innovative spirit and culture of Epoque@Prastuti 2023. Epoque@Prastuti 2023 is a true celebration of talent and diverse cultures, and we are grateful to everyone who made it possible. Here is a glimpse of this grand event.KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #Epoque_at_Prastuti2023 #Epoque2023 #Prastuti2023 #CulturalFest2023 #CulturalFest #EpoqueAtPrastuti2023 #InauguralCeremony #CelebratingInnovation #Culture #Creativity"
24,"Jai Kisan, rural fin-tech firm with a strong online presence has ambitions to become a leading financial services player in rural India with Meta acting as a catalyst to help it get there. #Partnered Meta for Business"
25,"Happy International Women’s Day 🙌! Define what’s possible and be the catalyst that makes the world work better. Join our community to stay up to date, and be the first to hear about new opportunities 👉 https://ibm.co/3L2FNHS#WomensHistoryMonth #IWD2023 #IWD23"
26,"Update on skill check ✅ Getting Started with Git and Github from IBM skills network, offered via Coursera#collaboration #versioncontrol #git #github"
27,"Promoting India's top brands since 2016. Promote your mobile app with our ASO, CRO, ad services. Get a free app audit and growth roadmap."
28,I’m happy to share that I’m starting a new position as HR & Operations Associate at The Smart Owl!
29,Colourful memories that will last a lifetime! 🎨🎉Here's a sneak peek into the vibrant Holi celebrations 2023 at Appinventiv! 🎊 #Holi2023 #Celebrations #Appinventiv
30,"💼 Ready for a 2-month work-from-home internship?🤔 Do you have what it takes to brainstorm and find reliable information?📍 Join Ozibook's team as a Research Analyst intern!💻 As a Research Analyst, you'll be responsible for:👉🏻 Heavy-duty brainstorming sessions👉🏻 Assisting the Business Analyst team in finding information👉🏻 Creating playbooks👉🏻 Applying critical thinking skills🔎 Check out the attached document for more details on the internship and your responsibilities:https://lnkd.in/dbhdBSt6💪 If you're passionate about making a change in the education sector, apply now!🎉 Perks:✅ Monthly stipend of Rs. 1000✅ Internship Completion Certificate✅ Performance-based Letter of Recommendation📩 Drop a comment with your email ID and our team will reach out to you.#internship #hiringinterns #researchanalystinternship #brainstorming #startuphiring #startup #campushiring #placementcells #education #researchanalystinterns #hiringTanvi MittalSannidhi RaoAditi MaheshwariSmita ChauhanNAMAN SHARMAAnuroop KothamasuJay Enumula"
31,Now it's time for me to put those Math.h libraries to use.There's an article on india times and recommended to me by MSN titled simping done right.for sure bro is a 10 and doing it for fun.Link to the article is in comments.Follow me here for more interesting content#brocode
32,"I was fortunate to spend the afternoon yesterday with an amazing group of women from the #honorscohort program at The Ohio State University Fisher College of Business! Hearing their experiences, ambitions, and thoughtful questions was truly inspiring - this next generation of leaders is already changing the world! Hosting them at Meta in NYC and sharing a bit of my world, including Meta’s delicious gelato cafe, was the cherry on top (no pun intended). Thank you to Paula Bennett for sponsoring this incredible trip, and Tyler Shepfer and Nancy Lahmers for continuing to invest in and grow this world class program!"
33,I’m happy to share that I’m starting a new position as Lead Product Manager at PayPal!
34,What is Smoke Testing in Software QA? testRigor Test Automation Tool https://hubs.ly/Q01DzL5_0#testing #smoke #automatedtesting
35,"As we look to the future, our ✨ new company values ✨ represent the attributes and actions that will help get us there. Let's Adobe together. https://lnkd.in/gDXp2wEp"
36,"Infosys Foundation, has signed MoU in this financial year, with Avanti Fellows, Nirmaan Organization, and Shrimad Rajchandra Aatma Tatva Research Centre, to bolster women’s empowerment in India.  Read more. infy.com/3myHGlJ #InfyNews"
37,"Earlier this month our Adobe Black Employee Network (BEN) hosted a powerful event that brought together Black leaders within Adobe to share what what is means to #belong. During their conversation they explored the past, present and future of what it means to feel seen, connected, supported and proud. Here are some standout out moments from the event: #BlackHistoryMonth #AdobeforAllThank you to John, Arlean, Kasha, and Roger for sharing with us!"
38,I’m happy to share that I’m starting a new position as Domain Coach (Electrical) at MY EDEN AI!
39,"Hewlett Packard Enterprise just posted its highest Q1 revenue total since 2016 with $7.8B in revenue for the first quarter of FY2023, as it beat analyst estimates. In our latest research note for Futurum Research, principal analyst Daniel Newman and I dive into HPE's latest earnings announcement and share our insights about how the global edge to cloud vendor shined with increased sales and energy across its five main business segments.#hpe #edgecomputing #cloudcomputing #hpegreenlake"
40,Top-30 Manual QA Interview Questions (+Answers) https://hubs.la/Q01Cbpl_0#testing #qa #interview
41,Happy #InternationalWomensDay! Let's take a moment to appreciate all the women who have blazed trails in all industries. ✨Who's your favorite female icon? ⬇️
42,"How can enterprises get young talent excited about a career in the #cybersecurity world? According to Santha Subramoni, Head of our Cybersecurity Practice, “all we need is a shift in the narrative.” Scroll through for highlights from her recent piece via World Economic Forum on building a cyber-ready #workforce : http://bit.ly/3xO1DaB#Cybersecurity #TalentManagement  Tata Consultancy Services"
43,"See myself in this video about apprenticeships at KLA . An amazing company to work for, I am currently writing this post from USA, where I have been sent out for a third time in less thana year to work on a project! Many opportunities within the company people."
44,"The Department of Medical Laboratory Technology, Clinical Nutrition and dietetics & Department of Biomedical Engineering organized an outreach program on 06, March 2023 at the Primary Health Center, Semmancheri. It was an awareness program along with drama. The main purpose of this Awareness program is to give some knowledge about diabetes, obesity, and anemia. This Awareness program provided a stage to know about Diabetes, causes of obesity, and anemia in hospital patients.www.sathyabama.ac.in#sist #sathyabama #Medicallaboratorytechnology #clinicalnutritionanddietetics #biomedicalengineering#awarenessprogram #nutrition #hygiene"
45,"To support #IWD2023, join us in celebrating this group of women & allies who bring together our employees across Canada to connect, collaborate, mentor and inspire each other.Meet our WING (Women of IBM Networking Group) ⬇️ ✨ Co-Chair and Co-Exec Sponsors: Lianne McPherson Leanne Clarke & Dave McCann ✨ 2023 WING Leads: Heather Stapleton, Jordan Podealuk, Julie Bock, Jeanne Avron, Daphné Beaulieu, Nour Al Safi, Nassim Tayari, Ph.D. Marissa Nissan, Diana Sansom, Caroline Fortin, Sujata Jha, Jessica Graham, Dilanka Wijesinghe, Casey Van Camp, Briar O'Keefe, Urvi Patel, Stephanie Johnston, Valérie Oberson, jacynthe larochelle, Sadaf Khan, Dawn De Vera,  Shoaa Khurram & Krista Nolan.Thank you for all that you do! 👏 #EmbraceEquity"
46,"What inspires you? Our Women@ community reflected on advice from extraordinary women in their lives, and we couldn’t keep it to ourselves. Here are some favorites. #IWD2023 #LifeAtMeta #InternationalWomensDay"
47,"Lord Hanuman, Singapore 🕉🙏🏻#India #Singapore #Hanuman"
48,"E não é que a fantasia de QR Code do Carnaval que postei aqui rendeu mimos? O pessoal da Adobe me procurou e enviou esses presentes aqui pra casa.Tô me achando o blogueirinho do Linkedin agora. 😁  Valeu, Adobe Brasil!"
49,"🙌 Encouragement👍 Support💬 GuidanceJiali didn’t have much of a background in finance before joining Barclays. Luckily, with plenty of skills and initiative, when she joined our graduate programme she found all the support she needed to succeed on her new path. Discover more about our graduate opportunities: http://ms.spr.ly/60415k5vH#LifeAtBarclays"
50,"🚨 The countdown has begun! Are you a Bentley user who has a unique water, wastewater or stormwater project? Nominations are now open for Bentley's 2023 Going Digital Awards in Infrastructure. Don't miss the opportunity to recognize your accomplishments!#YII2023 #goingdigital #waterinfrastructure"
51,"Customers have shared with us the need to radically improve the health care experience. I think they're right. I believe health care is ripe for innovation—and I'm excited about how we can help. It's why we launched Amazon Pharmacy in 2020 and our virtual care service, Amazon Clinic, in 2022. Today, we're excited to share that One Medical has joined Amazon. This marks another important step in how we're reimagining the customer experience when it comes to staying healthy and accessing medical care.https://lnkd.in/e6GhtT82"
52,"Jennifer J. Dana has worn many hats in her 11 years at Adobe. As the current Global Program Leader on Adobe’s Field Engineering Team, her role is all about bridging the gap between data, storytelling and wellbeing. Read more of her story here: https://lnkd.in/geJiUp48 #AdobeLife"
53,"You’ve got the pieces for a successful AI project, so how do you fit them all together?  Here’s a quick walkthrough of things to consider ⤵️"
54,"Mit viel Freude haben wir den Lernenden von Hewlett Packard Enterprise, HP Inc. und DXC einen Einblick in die Grundlagen des Marketings vermittelt. Im Workshop haben wir den Marketing-Mix erläutert und aufgezeigt, warum eine Zielgruppenanalyse wichtig ist. Wir haben auch erklärt, dass man heute nicht nur von den 4, sondern von den 7 P's spricht und wie sich Offline- von Online-Medien unterscheiden. Durch praktische Übungen in der Gruppe konnten die Teilnehmer:innen das Gelernte direkt anwenden und vertiefen. Natürlich kam auch der Spass nicht zu kurz. Am Ende des Workshops haben wir ein Kahoot-Quiz veranstaltet, bei dem Wissen und Schnelligkeit gefragt waren, um einen der drei kleinen Preise zu gewinnen.Es hat uns als #Praxisbildnern sehr viel Freude bereitet, unser Wissen und unsere Erfahrungen weiterzugeben, um den Lernenden einerseits dabei zu helfen, die Prüfung erfolgreich zu meistern und andererseits ihr Interesse an einer #Karriere im Marketing-Bereich zu wecken.#wearehpe #marketing #learning #knowhowtransfer #fun #readyforthefuture Anita Bräker Oliver Scheidegger Loretta Ftaq Hussein Rahhal Florina Ajdari Tharmila Thayaparan Sabrina Kistler Adriana Miani Florian Käfer Madeleine Selak Roger Fontana Manuel Both Corinne Rennie"
55,"I love this challenge coin my leaders Robert (Steve) Stoker and Anibal ""J.R."" Nieves at work gave us!Traditionally, challenge coins are given to service members and law enforcement personnel for achievement, recognition and morale. So in that same spirt we have been given this coin. You can see the Microsoft logo and the mission statement on the front. Then on the back the team I am apart of and the AD Ninja logo. This logo and idea came around internally around 6 years ago by highly esteemed colleague Justin Turner. The idea is that we are AD Ninjas fighting for our customers and colleagues on advisory, break/fix and disaster recovery of AD environments and to encourage continued AD learning. I actually created the artwork for the coin as one of my leaders reached out asking if I would like to assist in bringing the challenge coin idea to life. You may notice a misspelling which took place during the proofing process (I assure you all, in my artwork there were no misspellings) of the coin development which just makes this coin even more unique if you ask me. We all laugh about it now.It's great to work in an environment where you are appreciated! #Microsoft #MicrosoftEmployee #MicrosoftLife #ChallengeCoin #MoraleGift #Coin #Morale"
56,This is a great tip from Sam. I would always set it to 4 to get my quarter points around a curb radius.
57,"Adding more colour to our Appinventiv culture, we celebrated Holi with a bang! From spreading joy with vibrant colours, and relishing the mouth-watering delicacies to dancing to the beats of dhol, it was truly a day full of fun, laughter, and joy. We can't wait to do it again next year. Happy Holi from the Appinventiv family! 🎉🎊🎉#Holiatappinventiv #HoliCelebrations #TeamBonding #FunAtWork #Appinventiv"
58,"300...not days or months but years!By now you all should have read that true gender equality is “300 years away”. https://lnkd.in/e4hVVtau#InternationalWomensDay is this week and we at Meta will be celebrating all the brilliant women in our global workforce! 🎉♀️But not only this week or months, a diverse and inclusive workspace is a fundamental part of Meta’s success and philosophy. That’s why we are steadily working on creating the Metaverse with #Diversity, #Equity and #Inclusion in mind - because only  when everyone has an equal voice can we develop more inclusive products for people around the world. 🌍Research by McKinsey also proves women to be a driving force in implementing the #metaverse. It showed that female executives are 20% more likely to set up multiple metaverse initiatives than their male counterparts and that women overall are more likely to utilize hybrid use cases of the metaverse, such as gaming, live events, and shopping via AR/VR technologies. And as they illustrate so well, now it is time to increase the number of women in #leadership roles - across the metaverse and the entire industry. At Meta we doubled the number of women in our global workforce compared to 2019 and increased female leadership positions to a total of 37,1% - and we won’t stop there! 🚀Read more about our efforts to build an inclusive and equal metaverse: https://lnkd.in/eNXN5Ctf"
59,"Happy International Women's Day! Today, we celebrate the strength, resilience, and achievements of women around the world. At Appinventiv, we wanted to mark this special occasion by empowering our women employees with something they truly deserve. We had the privilege of having Dr. Nisha Munsif Shrotria (Senior Gynecologist & Obstetrician in Noida), an experienced gynecologist with over 30 years of experience in the field, provide free gynae consultations to our female staff. We believe in taking care of our employees and their well-being, and this was just one way we showed our appreciation for the hardworking women in our team.#womenday2023 #internationalwomensday #workculture #womenofappinventiv #appinventiv"
60,"Today, IBM is being recognized as one of Canada's Best Diversity Employers via Canada's Top 100 Employers. Together with our employees, we will continue to build a diverse & inclusive culture at IBM while advocating for equity. Find out the reasons why we made it on the list this year: https://ibm.co/3YqvIYAShola Agoro Tammy Kelly #TopEmployers2023 #IBMCanada"
61,"For Women’s Day, we surprised Padma with a video of Srinivas thanking her for being an amazing role model at work. Check out Padma’s reaction! You can watch more videos here. infy.com/3l40QiJ #RaiseYourHand #EmbraceEquity #InfosysIWD23 #InfosysEmbraceEquity"
62,Google Workspace’s makeover…congrats! #googleworkspace
63,"Ever wondered what your favorite programming language would look like as a quirky cartoon character?Enter the wacky world of programming languages as we reimagine them as cartoon characters.Also, come up with any other programming language that would fit well into this analogy!Join us on this imaginative journey, and let's have some fun!#programminglanguage #cartooncharacter #appinventiv"
64,"Now you can access the world’s information and generate content from the Windows taskbar, providing you with an AI copilot directly on your desktop. #MakingItEasy for you to do your work!Get on the waitlist if you haven't already signed up and aren't already enjoying the new Bing experience - https://www.bing.com/new #Windows11 #TheNewBing #Bing #MicrosoftAdvertising #MSFTAds #MSFTAdvocate #MicrosoftLife #AI https://lnkd.in/e7XEWBtW"
65,#hiringnow #celebAI #teamlead #artificialintelligence #python #C++
66,"Since the invasion of Ukraine began over one year ago, the PayPal community has donated more than $600 million to trusted nonprofits responding to the ongoing humanitarian crisis. One of those charities is World Central Kitchen, which has been on the ground in Ukraine since the conflict began and has provided 200 million meals to refugees. Thanks to the generosity of people around the world, organizations like World Central Kitchen have received mission-critical funds to support those in need.   The generosity of the PayPal community is immense, and we are inspired by the response from our community during this time of crisis.  As the conflict continues, there are still ways that you can continue to help and support relief efforts: https://bit.ly/3ybsayu Photo provided by World Central Kitchen."
67,"Two Amazon Air cargo planes landed in Istanbul this weekend with 100,000 pounds of relief supplies including tents, sleeping bags, blankets, and heaters. Thanks to our teams and partner organizations for this joint effort to help earthquake survivors in Türkiye and Syria."
68,"Sustainability, diversity, and inclusivity are essential to Wipro, and we are committed to developing an inclusive supply chain that mirrors the communities and consumers it serves.So we launched the Wipro Inclusion & Diversity Opportunity for Vendors (WINDOV) to provide direct communication between entrepreneurs from historically underrepresented groups or areas and Wipro’s CPO team.Interested vendors can register to participate in a WINDOV Virtual Conclave, where they will present to Wipro’s Supplier Diversity team and real buyers. Vendors that demonstrate scalability and compatibility with Wipro’s buying needs can receive immediate recommendation for empanelment, documented that same day. Throughout it all, Wipro’s Supplier Diversity Team offers stewardship to suppliers as needed, for a smoother, shorter onboarding process.To learn more about WINDOV, or to register for a Virtual Conclave, visit the WINDOV homepage: https://bit.ly/3XRLexz#OneWipro #ESG #Sustainability #Diversity #Inclusion #SupplyChain Ekinath Khedekar"
69,"As we talked about last week, the new Tri-Toggle feature for Bing is now mostly rolled out so you can take more control shaping your preferred Chat experience.  Let me know what you think!"
70,"Are your front liners and end users equipped to handle cyber threats? Join us for a powerful webinar on 'Building a Strong Line of Défense: Empowering Front liners/End Users with Security Awareness Training to Combat Cyber Threats'! We'll cover the latest cyber threat trends, the importance of security awareness training, and how phishing simulations can shape user behavior. Plus, don't miss our live demo and Q&A session! Register now for Friday, March 03rd at 12pm IST/ 02:30pm SGT. Register here: https://lnkd.in/gzqME2zN#cybersecurity #securityawareness #phishingsimulations #webinar"""
71,"Meet Arial Robinson a multi-hyphenate creative whiz with a passion for connecting communities. She is an author, artist, editor-in-chief, photographer, and designer. She describes her latest creative endeavor, Soular Magazine, as a place where “Black experiences are just as impactful as they are imaginative.” Learn more about Arial and our other AMPED creators here:https://adobe.ly/3SqHVLe"
72,"International Women’s Day at Meta; an extraordinary privilege to be a host and hear powerful, moving and impactful insights from women who are role-modelling how to ‘be the change you want to see’. #iwd2023"
73,"Got an opportunity to work with the Google Pixel team to highlight incredible Black artists and their stories, not only for Black History Month but also beyond. Check out the first video in this series below 💛#google #bhm2023"
74,"""Dare to be different, have the courage to speak up, and love yourself.""Need a pick-me-up today? These women Amazonians from across APAC and MENA have some words of inspiration for you. 👐 #SheIsAmazon #AmazonWoman #InternationalWomensDay #EmbracingEquity #WomensDay2023"
75,"This #EmployeeAppreciationDay, we’re giving credit (and bagels) to the changemakers of our V Team. 🥯 👏 We savored the moment with notes to one another, shouting out the support we feel as part of the #NetworkLife. Explore our culture of recognition: https://vz.to/3EPlbz7"
76,"I don’t have a recent curly hair corporate photo…..it’s just happened that on the day of the latest shoot I had straight hair but I do now have a photo subscription with a local photographer so this will soon change!!My first batch of corporate photos when I started the business were curly and I still use them I am mixed race, I grew up in a single parent home, my mum absolutely adored our curls but we didn’t have any one around us to show us protective styles or the best products for our hair.My dad has dreads 😍I had really sensitive skin so any products back then for my curls would make me break out in itchy rashes so I would gel, slick and straighten my hair.Anybody remember the days of straightening the hair with an iron (actual clothes iron) Interviews and when I worked in corporate I would slick back a bun or straighten my hair but I am lucky I have not been directly discriminated for my hair.Comments yesI would never dare braid my hair for work back then because nobody else did I would feel quite uncomfortable when a big deal was made of my hair when I used to wear it down to work. Even worse when people tried to paw me or ask to touch my hair !! The reality now for me is I have started a journey finally embracing my bajan curls a curly head of hair that changes each day depending on the weather, the evening protective style, the finger detangle and my own mood!!For the first time thanks to my son educating me and the help of social media I embrace my curls I couldn’t pic a favourite curly picture so sharing a few Thank you LinkedIn and Dove I LOVE my curls and I will never pat them flat again #blackhairisprofessional"
77,Let's pave the way for a more inclusive industry. 🤝 Learn about how the Adobe Foundation is supporting future storytellers with Annenberg Inclusion Initiative at USC School of Dramatic Arts: https://lnkd.in/gbdCg4UX
78,Human Errors cause 95% of cyber security incidents. Your enterprise is at a greater risk of cyber attacks when you do not leverage security automation. Solution? Spunk SOAR. A perfect balance between cost-effectiveness and efficiency. What benefits does Splunk SOAR offer? Benefit no 1: It provides orchestration along with automation. SOAR executes actions across the entire framework. Benefit no 2: It automates the use cases using visually designed playbooks to make them interactive. Benefit no 3: Spunk SOAR is highly responsive and executes the actions in seconds. Benefit no 4: Spunk SOAR is compatible with 1000+ APIS and 100+ Apps. Benefit no 5: Large and active community to help you in your journey. Wish to adapt to Splunk SOAR? Learn more here: https://lnkd.in/gM8UUF45 #cybersecurity #mssp #cloudsecurity #siem #splunksecurity #soar
79,Oracle Hospitality OPERA Cloud enabled Melia to access real-time data across properties helping staff to better engage with guests and deliver the amazing personalized experiences the brand is known for.
80,Are you experiencing high call center attrition rates and stressed-out customer service agents? Join us in this video as we explore practical solutions to boost morale and productivity in your contact center while stopping turnover ➡️ http://ms.spr.ly/60455UQaF#contactcenter #customerservice #attrition
81,"The historic level of yen depreciation presented business opportunities for Japanese companies and individuals to enter the global market. Recently, Mr Nakamura, owner of an eCommerce site Barber & Apparel Nakamura Shoten, spoke to HuffPost Japan about his entrepreneur journey and his secret to success in the global marketplace for small businesses. Read more: https://bit.ly/3Zfqcc3 #CrossBorder #SmallBusiness #eCommerce"
82,"Department of Management congratulates Sunandita Mishra & Soma Kumari on getting placed at Verzeo.We wish them all the luck in their future endeavors and we hope they make the Department of Management, Birla Institute of Technology proud.#placements #bitmesra #departmentofmanagement #verzeo"
83,"This week we’re celebrating International Women’s Day by highlighting women at Bentley who have championed equality in the workplace and beyond.This is Daria Kosmala. At Bentley, she is a Product Success Manager based in Poland. She co-manages our Support for Ukraine Teams channel with Dalia Jasiniauskiene, a Director of Software Development based in Lithuania, using technology to connect colleagues eager to help those in Ukraine and those who have left. They established the Teams group to crowdsource and crowdfund with coworkers, and they have since gathered supplies, finances, and even hosted refugees in addition to raising awareness for women in the Ukrainian Army. We celebrate them, and all our many colleagues working to help the people of #Ukraine.#IWD2023 #EmbraceEquity"
84,"A panel of #WomenInTech met at Mobile World Congress 2023 to address ‘sustainability as a catalyst for change.’  Speakers included Intel Corporation's Jeni Panhorst, Hewlett Packard Enterprise’s Sue Preston, Telstra's Justine Rowe, and BT Division X’s Alexandra Foster.  Catch the replay and hear how technology plays a critical role in helping telcos through transformation by creating efficiencies and culture shifts.  https://hpe.to/60433Lcq9"
85,Are you switching to passwordless authentication? You made the right decision. But have you considered these factors? What's that? Read the carousel 👇 #passwordless #cybersecurity #cloudsecurity
