,Post
10,"This short film questions the everyday normalisation of sexual harassment of women at the workplace and advocates for safe and equal workspaces for all women. UN Women is the UN organisation dedicated to gender equality and the empowerment of women. UN Women’s Office in India, based in New Delhi, works with partners across all sectors to set national standards and to achieve the following strategic results through its programmes, public advocacy, research and thought leadership.Visit our regional website for more: https://lnkd.in/g-gRKyvn"
11,"WE ARE HIRING: Machine Learning Intern - Location: Remote / Bengaluru, India- Working Hours: 9:30 to 18:00 (Monday to Friday) - Fulltime - Duration: 6 months, starting April second or third week - Essential Education / Qualifications / Experience:Bachelor's, Master's Degree or PhD in Computer Science Preferred Choice - PhDFor more information about the internship, click here: https://lnkd.in/dwDzSCmY#SonyResearchIndia #HiringAlert #Hiring #MachineLearning #Researcher #Careers #SonyWOW #Internship"
12,"Join our full-stack development team in India and create the latest aerospace technology solutions. Explore opportunities in UI, database, cloud and mobile. Apply now."
13,"Great conversation between our CEO Shantanu Narayen & Indian Prime Minister Narendra Modi covering how to unleash creativity and digital literacy for billions of people, the potential of AI to advance citizen services and Adobe’s continued investment in India."
14,"Made this Dev-Detective-Project, which basically finds the user-info & stats at GitHub (only if he/she is a VALID User) like followers, following, bio etc.This has been done by using #html #css #javascriptIt is RESPONSIVE for Mobile & Tabs also :)Codes ->https://lnkd.in/dhRXpgz7Live LINK ->https://lnkd.in/dcU8KjM3#webdevelopment #webdeveloper #lovebabbar #codehelp #dotbatchLove Babbar Lakshay Kumar"
15,👨‍🎓 👩‍🎓  The Ultimate Cheat Sheet for Web Developers --> 🖥 𝗙𝗿𝗼𝗻𝘁 𝗘𝗻𝗱 𝗖𝗵𝗲𝗮𝘁 𝗦𝗵𝗲𝗲𝘁𝘀HTML - https://htmlcheatsheet.comHTML4 - https://lnkd.in/d_44TCbXHTML5 - https://lnkd.in/dg2uMc44CSS - https://lnkd.in/d8nvha7JCSS2 - https://lnkd.in/dT7pSZYXCSS3 - https://lnkd.in/dkhdVi9UJavaScript - https://lnkd.in/dGgHwc-DJquery - https://lnkd.in/dnzkkqKSBootstrap - https://lnkd.in/dvJnTwJEBootstrap3 - https://lnkd.in/d4jSpNeQBootstrap4 - https://lnkd.in/dkpV9MDkFont families - http://fontfamily.io𝗕𝗮𝗰𝗸 𝗘𝗻𝗱 𝗖𝗵𝗲𝗮𝘁 𝗦𝗵𝗲𝗲𝘁𝘀Java - https://lnkd.in/dpA4fMruPHP - https://lnkd.in/dsg7Zb9NPython - https://lnkd.in/dYyi3-HFRuby basics - https://lnkd.in/d-XYipCaRuby 1.8.4 - https://lnkd.in/dc2mnRuB.net - https://lnkd.in/dhpu7_-HC - https://lnkd.in/db_ybPfzC++ - https://lnkd.in/dbYgG9nwExpress.js - https://lnkd.in/dH3YjjKsNode.js - https://lnkd.in/dUpDAAnQ𝗗𝗮𝘁𝗮𝗯𝗮𝘀𝗲 𝗖𝗵𝗲𝗮𝘁 𝗦𝗵𝗲𝗲𝘁𝘀SQL commands - https://lnkd.in/dQjpteVFOracle SQL - https://lnkd.in/d9sRdUE9Oracle SQL commands - https://lnkd.in/dBVnHidvMySQL - https://lnkd.in/ds-TP7YXPostgreSQL - https://lnkd.in/dCtZrmB5MongoDB - https://lnkd.in/d6He6gZW𝗔𝗱𝗱𝗶𝘁𝗶𝗼𝗻𝗮𝗹 𝗥𝗲𝗳𝗲𝗿𝗲𝗻𝗰𝗲 𝗦𝗵𝗲𝗲𝘁𝘀Principles of agile software development - https://lnkd.in/digSRHXFGit - https://lnkd.in/dqgtgCXUJSON - https://lnkd.in/dv-RWXV8UNIX/LINUX commands - https://lnkd.in/dznUZZvfHTTP status codes - https://lnkd.in/d6ZCfmPyFollow GAURAV GUPTA for more.#technology #javascript #python #computerprogramming #https #html #css #webdeveloper #php #sql #unix #mysql #oracle #agilesoftwaredevelopment #seo #java #linux
16,"Congratulations to the second batch of Two-Wheeler Skill Development Center students on their successful final assessment on March 23, 2023, with the support of HMCL and ASDC. We are thrilled to announce that all 22 students participated in the assessment and were evaluated by esteemed professionals, including Mr. Ravi Katiyar from HMCL and Mr. Naveen Bhatnagar and Mr. Saurabh from ASDC.The event was graced by the presence of Dr. Ashish Karnwal, HoD (ME), Dr. Ajay Singh Verma, and the trainers of this center, Mr. Ashok Kumar and Mr. Ikhlaq. Dr. Karnwal congratulated the students on their achievements and encouraged them to aim higher in their careers by taking this employment-oriented course to new heights. We wish all the students a bright future ahead!KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #Assessment #TwoWheelerSkillDevelopmentCentre #SkillDevelopment #ASDC #HMCL #MechanicalEngineering #Skills #SKillIndia #future #event #students #employment #careers #development"
17,"Freshers has to face many difficulties in starting his career.Please stop rejecting freshers on the basis of strict criteria.It's important for employers to keep in mind that everyone starts their career journey as a fresher, and providing opportunities for fresh talent is crucial for the growth of any organization. While having certain criteria for job roles is important, it's equally important to be open to hiring freshers who show potential, enthusiasm, and a willingness to learn.Follow 👉 Dev Raj Saini #job #hiring #growth #career #opportunities #freshers #talent"
18,"Our heartiest congratulations to Mrs. Sudha Murty, former Chairperson of the Infosys Foundation, on being honored with the Padma Bhushan award (India’s third highest civilian honour) for distinguished service of high order in the field of social work. After receiving the Padma Bhushan from the President of India, Mrs Murty said, “I owe this award to the people of India. I hope my recognition today inspires the younger generation to take up social welfare as a vocation. It is needed for the continuous development of our great nation. I always feel that generosity of a few is hope for a million.”Congratulations to all the other awardees.Infosys | #PadmaBhushan | #SudhaMurty | #InfosysFoundation"
19,"🎓 Attention all working professionals! Are you looking to take your career to the next level? If so, it's time to start preparing for the GMAT. This standardized test is a critical component of the business school admissions process and is used by top-ranked institutions around the world. 🌎Don't let the GMAT intimidate you. With our GMAT product, you'll have access to the resources you need to succeed.So why wait? Invest in your future today with our GMAT product and take the first step towards achieving success in the business world.  #GMAT #BusinessSchool #CareerSuccess"
20,"Flipkart is not laying off its employees. Read that again! Flipkart is NOT laying off its employees! Sounds strange considering the news that’s all around us, isn't it? 👀Recently, Krishna Raghavan, the Chief people officer at Flipkart said and I quote, “.. there are no mass layoffs happening at Flipkart.”This brings us to an important question. When the biggest tech giants of the world are struggling in this time of turmoil, what different has Flipkart done to retain its talent?Here are 3 strategies that have worked in Flipkart’s favour so far:1️⃣ Prioritising responsible hiring:Unlike many of its competitors in the tech and IT services sector, Flipkart is not using ""over-hiring"" as a justification for layoffs. The company states that they do not hire thousands and then resort to extreme measures to reduce headcount.2️⃣ Facilitating internal mobility:Flipkart understands that monotony and lack of lateral movement lead to a large chunk of employees quitting their jobs. To optimise its hiring efforts, Flipkart has lately increased internal job postings against hiring from the industry.This helps employees already acquainted with the company to move to different job roles of their choice. It increases the overall efficiency of the company while saving them a lot on hiring processes.3️⃣ Generous employee stock options:In November 2022, Flipkart went for an ESOP buyback plan of $700 million and also gave an increment to over 4000 senior managers to bring in pay parity within the company. Flipkart has now become one of the very few startups in India where ESOPs actually turn into liquidation opportunities for employees.Overall, Flipkart's approach to talent management demonstrates true commitment to responsible hiring & providing growth opportunities for its employees, even in times of uncertainty. ✨Such stories are rare to find in these times of turmoil and ought to be shared! What are your thoughts? Tell me in the comments 💬Also, I keep sharing such stories on business, marketing & finance. If you enjoy them, do consider following me (Anurag Bansal) for more!#jobs #job #business #flipkart"
21,🎯 𝐇𝐨𝐰 𝐭𝐨 𝐮𝐩𝐥𝐨𝐚𝐝 𝐩𝐫𝐨𝐣𝐞𝐜𝐭 𝐨𝐧 𝐆𝐢𝐭𝐡𝐮𝐛?📌 Create a GitHub account📌 Log in to your GitHub account📌 Create a new repository📌 Give a name to the repository📌 Mark it as public or private📌 Open cmd📌 cd <location>📌 Type 'git init' and hit enter📌 Type 'git add .' and hit enter📌 Type 'git commit -m <commit message>' and hit enter📌 Go to the created repo and copy the URL📌 Type 'git remote add origin <paste_url>' and hit enter.📌 Push codeFollow Rahul Bharambe (RSB) for more 🔥✅💯💪🤟PDF Credit: Pranav Verma#github #content #git #opensource #gsoc #opensourcedevelopment #versioncontrol #dsa #dsacoding #datastructuresandalgorithms #competitiveprogramming #softwaredevelopement #softwareengineering #dailycoding #leetcode #codechef #codeforces #faang #maang #hiring #layoff #placement2023 #placementpreparation #notes #webdeveloper #webdevelopement #jobs #geeksforgeeks #india #networking #linkedin
22,Senator Gillibrand's visit was the perfect opportunity to demonstrate how domestic cell manufacturing was the way forward in green energy production. Here's a look at some key highlights of her tour.
23,"We’re excited to announce that PayPal and Live Nation Entertainment have signed a multi-year deal to bring simple and secure payments to fans worldwide. As part of this, PayPal will be Ticketmaster’s Preferred Payments Partner and PayPal Braintree will now be the primary payment processor for Ticketmaster globally. Fans will be able to pay with PayPal, Pay Later products and Venmo across Ticketmaster’s platforms. Learn more: https://bit.ly/3KtyOXL"
24,🤖 인공지능에 대한 관심이 그 어느 때보다도 높은데요.과학유튜버 ‘지식인미나니’가 🌐미국 보스턴의 MIT-IBM Watson AI Lab을 방문했습니다. AI가 앞으로 나아갈 방향은 물론 요즘 사회적으로 논의되고 있는 AI와 윤리(ethics)에 대한 IBM 연구소장의 인사이트를 소개합니다. 👉👉https://ibm.co/3zF6Br4
25,Read more on AI here - http://bit.ly/3Kd3MlM #artificialintelligence #deeplearning #neuralnetworks #softwaredevelopment
26,"""We’re not just building towards one experience, but potentially many different experiences tailored to different types of customers throughout their creative workflows."" Learn how Adobe Design designed #AdobeFirefly for right now AND for the future. https://bit.ly/3M0c176"
27,"🎙Watch today’s episode of 'TechIT Up: AI for Customer Care with IBM Watson' to explore how you can delivers superior client outcomes with documented ROI and benefits with IBM Watson Discovery.#DYK: IBM Watson Discover is Leader :✅  For the third consecutive year, IBM Watson Discovery is recognized as a Leader in the Gartner® Magic Quadrant™ for Insights Engines✅  In the Forrester Wave™: Document-Oriented Text Analytics Platforms, receiving highest scores for product vision, architecture and automation.✅  In the Forrester Wave™ AI-Based Text Analytics (People-Focused) report receiving the highest score for strategy and market presence.Joining us is #IBM New Creator and Tech Evangelist Nicholas Renotte, Senior Data Science & AI Specialist, IBM Australia with Chetan Krishnamurthy, IBM Vice President & CMO of Asia Pacific for Marketing, Communication and Corporate Citizenship.📍Learn more about how IBM Watson Discovery accelerates decisions and business processes with natural language AI, here : https://ibm.co/40wCj5B #TechITUp #IBMAPAC #AI"
28,"Oracle y Alura Latam te ayudan a descubrir tu estilo de aprendizaje, ¿Cuál es el tuyo? #OracleNextEducation #helloONEG5 https://lnkd.in/g_dpfvE8"
29,"WE ARE HIRING: Voice Conversion Intern- Location: Remote / Mumbai / Bengaluru, India- Working hours: 9:00 to 18:00 (Monday to Friday) - Fulltime - Duration: 3 months, starting the first week of April For more information about the internship, click here: https://lnkd.in/dsX-GYKr#SonyResearchIndia #HiringAlert #Hiring #VoiceConversion #Researcher #Careers #SonyWOW #Internship"
30,New working patterns offer opportunities to explore how we manage our productivity.
31,"12 Powerful Visuals Related to Life... 🔹Visuals are 60,000 times faster than text in the brain. Understand and start implementing these 12 visuals. It will help you to grow in life. Follow Swapnil Tighare for such insightful posts. 😊"
32,"21 minutos es el tiempo en que el cerebro humano mantiene su atención al 100%.21 minutos es el tiempo máximo que debe durar una conferencia, antes de que los asistentes miren el reloj, bostecen o hagan un viaje astral. 21 días es el tiempo que tardamos en forjarnos un nuevo hábito, según calculos científicos. 21 personas en un aula (profesor y 20 alumnos) es la cifra ideal para que el docente mantenga cercanía y control, y los alumnos se impliquen.⏳⏳⏳   21 DÍAS PARA NUESTRO PRÓXIMO WEBINARIO  ⏳⏳⏳ Quedan 21 días para nuestro próximo Webinar donde Javier Baños Morras de Tabacalera y Cristina Querol de RICE IN ACTION nos contarán cómo las empresas españolas pueden mantenerse #ágiles a la hora de #adaptarse en tiempos impredecibles. 📈📊💪Gracias a Mercedes Ruiz Rosas de Oracle NetSuite el 18 de abril a las 11:00am podréis conocer estos casos de uso de cómo hacer crecer a tu empresa gracias a la #digitalización y #automatización de procesos.Si te preguntas cómo puede un #ERP en la #nube conseguir que las #empresas sigan siendo #resilientes, #alcancen sus #objetivos comerciales y #maximicen las #oportunidades que se avecinan no puedes perderte este evento!Descubriremos cuáles son las #oportunidades y los #beneficios de pasar a una verdadera plataforma #ERP en la nube y hablaremos de cómo aprovechar los #fondos #europeos para mejorar la #digitalización de las empresas y poder así alcanzar las metas más ambiciosas de tu compañía.🚀Invertir una hora de tu tiempo nunca pudo significar tanto para tu empresa, INSCRÍBETE AQUÍ, es GRATIS: https://lnkd.in/d3hu6DND¡No te lo pierdas, regístrate hoy, y escucha a los expertos!Alberto Lozano Gómez José Olalla Martinez Rocío Tarazaga de Zárate Cintia Carrasco Reyes André de Resende Jorge Rosário Ferreira Mercedes Ruiz Rosas Borja Lorente LOLA GARCIA FERNANDEZ Virginia Rojas Orozco Ángel C. Clavijo Díaz Noelia Fernández Brescia Natalia Pozo Soukaina Leglil Sonsoles P. Victoria Ibáñez Pérez-Maffei Ana Belén Suanes Crespo Ana Rojo Zamora Luis Delgado Buskens Paulo Roberto Silva Manuel García Sánchez Sabrina Boado Pereira Federica Bonato Francisco Roman Frutos Luis Bueno Soldevilla Rita Céspedes Caio Mourao Wybe Lefering Juan Lopez Campos Ignacio Gutiérrez Marqués Lucía Pérez Anaya  Ramón A. Mesa Quílez Lucas Tello Arranz"
33,"What an incredible event on the 'Art of Possible with Applied AI'! We were thrilled to have #AI enthusiasts join us for thought-provoking discussions and insights. A huge thank you to Hod Lipson, Columbia University, for sharing his extensive knowledge and fascinating insights on the six waves of AI. NVIDIA #AppliedAI"
34,Office is now Microsoft 365 Android: https://lnkd.in/fgUpXPZiOS https://lnkd.in/dewebZsM #microsoft #android #ios
35,"For more than a year, we've been working with leading organizations around the world to disrupt the traditional enterprise CCaaS market and deliver new service strategies for digital-first enterprises. Check out CX Today for a breakdown of our 145 new capabilities and how they can help you make customers happier.#ccaas #unifiedcxm"
36,This 4D simulation consists of a combined 1300 detail of works. And it took 3 weeks to finish this because I'm noob :)4D simulation: by me3D STR: by Vico Trisna Widyantara3D ARS: by Vico Trisna Widyantara3D MEP: by Vico Trisna Widyantara3D LANS: by me #bim #revit #synchro #construction #constructionmanagement #4dsimulation Bentley Systems
37,"The Department of Computer Science & Information Technology organized an expert lecture on “Open-Source Contributions” for CSIT 2nd year students on 05th April 2023. The lecture was conducted by Mr. Saurav Jain (Community Manager, Amplication) and Mr. Abhishek Dewan (Software Engineer, Accenture), who shared their insights on open-source platforms and discussed challenges faced by freshers. It was an informative session that provided valuable guidance to the students.KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #OpenSource #CSIT #ExpertLecture #ComputerScience#InformationTechnology #OpenSourceContributions #Education#TechTalk #SoftwareDevelopment #Programming #ITLearning#Students #Freshers #Technology #TechEducation #Amplication #Accenture"
38,"Hello connections,I am happy to share that I have completed the first task of web development internship at LetsGrowMore .Task 1-Todo list.Link-https://lnkd.in/dkKN2sdD# #webdevelopment #internship #connections #letsgrowmore"
39,We at Physics Wallah Is hiring for the Subject Matter Expert for Botany  Subject in Telugu Language.Interested candidate can apply through the link mentioned below-https://lnkd.in/dUugBu2U
40,"The KIET School of Management recently organized a highly anticipated event called ""अभिनय"" - The Role Play, under the HR Club ""OASIS"". This event was specifically designed to provide practical exposure to the challenges faced by HR managers, with a focus on enhancing problem-solving and decision-making skills.The event took place on April 07, 2023 and witnessed enthusiastic participation from students across different courses such as B.Tech, MCA, and MBA. The Role Plays were judged by esteemed faculty member Dr. Binkey Srivastava, Head of the KIET School of Management, who evaluated the teams based on their creativity, teamwork, coordination, and uniqueness. The best two teams were awarded prizes, adding to the excitement and motivation of the participants. The event was coordinated by the first-year MBA students - Anubhuti, Aastha, Manya, and Avlok - under the guidance of HR Club Faculty Coordinator Dr. Arunima Mishra.The event proved to be a valuable learning experience, as it provided the students with an opportunity to enhance their analytical and decision-making skills, and nurtured their potential to become effective leaders in the future.KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #KIET #KIETSchoolOfManagement #RolePlay #HRmanagement #PracticalLearning #ProblemSolving #DecisionMaking #LeadershipSkills #TeamWork #Creativity #StudentEvent #HRChallenges #OASISClub #Management #ManagementSkills #KSOM #opportunity #future #learning #experience #event #motivation #hr #school #leaders #students"
41,"Recently had the privilege of delivering a guest session at Ashoka University. It is always a pleasure to give back to the community, and I feel honoured to have been able to share my insights and experiences of building Coupl (YC S22) with these aspiring entrepreneurs.As a speaker, it was incredibly rewarding to see the students actively participating and asking insightful questions. I learned just as much from them as they learned from me, making the session an enriching experience for both sides.Thank you Srikant Sastri for inviting me to speak and for providing such a wonderful platform.#ashokauniversity #entrepreneurship #fintech"
42,"Unlock endless possibilities with a career in Mechanical Engineering at KIET Group of Institutions! Join the ranks of innovators and problem solvers who are shaping the future of technology. Apply now and kickstart your journey towards success!For more details contact Us @: Toll-Free No. - 1800 1200 106Enquiry No.- 9520869474Email: admission_me@kiet.eduAdmission Form: https://lnkd.in/gyzXW-9RKIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #AdmissionsOpen #MechanicalEngineering #BTechAdmission #Admission #BTech #EngineeringCollege #MechanicalEngineeringAdmissions#CareerInMechanicalEngineering #DelhiNCR #Education#HigherEducation #STEM #Engineering #FutureEngineers#ApplyNow #CollegeAdmissions #TechEducation #LearningIsFun#InnovativeLearning #CareerOpportunities #HandsOnLearning#STEMEducation #EngineeringStudents #DreamCareer #career #success #email #future #technology"
43,BCrypt at Appinventiv few pics
44,"Excited to share my new portfolio website with everyone 🎉🎊! As a fourth-year student, I've been honing my skills in front-end development, and I'm proud to showcase my work through this website.Using React and Tailwind CSS, I've created a sleek and modern design inspired by the aesthetic and usability of Google and its apps. I wanted to pay homage to Google's design philosophy, and I have implemented it throughout the website.I hope that Google will have a chance to check out my work and see how their design has inspired me. A special shoutout to my friend ADITI JAIN for her invaluable support and encouragement throughout the development of this website.As a fourth-year student looking for front-end developer roles, I'm excited to continue growing my skills and taking on new challenges.Check out my new website at https://lnkd.in/dP2xT6f9 and let me know what you think!#portfolio #webdesign #frontenddevelopment #development #react #tailwindcss #googleinspired #google"""
45,"🔍 Looking to inspire?👉 Want to learn how to make a difference?✅ Follow these 4 tips to help you decide.💪 “Unleash the potential that is in another and you unleash the potential that is in you.” ― Matshona Dhliwayo.✨ Inspiring someone is important because it can motivate, increase self-confidence, spark creativity, have a positive impact, and leave a lasting legacy.1. 🌈 Live an inspiring and meaningful life.❣️ Live a life that inspires and brings value to those around you.2. 🌈 Success is a Shared Journey.💰 Celebrate the success of others as if it were your own because it is. 3. 🌈Teach to Unleash Potential.🥇 Use your knowledge and skills to help others achieve their full potential.  4. 🌈 Watching Growth is Rewarding. 📈 Find joy in watching others grow and develop into their best selves. ⚓ Be the catalyst for positive change in the lives of those around you. Live a life of purpose and inspire others to do the same.💬 How do you Inspire those around you? Share your insights in the comments below.❤️ Liked this post? Want to see more of such helpful content?📁 Check out Ozibook’s profile.📱 Connect with us.#inspiration #motivation #positiveimpact #leadership #Ozibook #OzigenJay EnumulaAnuroop Kothamasu Rithesh DarishAnant RazdanAnushri Sarathy"
46,"WE ARE HIRING: Data Science Intern- Location: Remote/ Mumbai/Bengaluru, India- Working hours- 9:30 to 18:00 (Monday to Friday) - Duration - March till the end of September.- Essential Education / Qualifications / Experience:Bachelors, Masters or Ph.D. from Computer Science backgroundFor more information about the internship, click here: https://lnkd.in/daaMds9F#SonyResearchIndia #HiringAlert #Hiring #DataScience #Researcher #Careers #SonyWOW #Internship"
47,"Distinguished Lecture Series 2022-23 Session: Department of Electrical and Electronics Engineering On March 30th, 2023, the Department of Electrical and Electronics Engineering organized an informative and interactive session featuring world-renowned personalities: Dr. Hemant Misra (Vice President, Swiggy India, Bengaluru), Mr. Marco Maréchal (Program Manager, Mobility Vision 2040, North Holland, Netherlands), and Mr. Ismael Abedin Ingelmo (Founder, DXMID (Pvt) Ltd., Spain).The thought-provoking sessions delivered by these vibrant speakers were a great source of long-term motivation and guidance for our budding engineers.""KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #EEE #Engineering #SpeakerSeries #IndustryExperts #ThoughtLeaders #Motivation #Guidance #SwiggyIndia #MobilityVision2040 #DXMID #BuddingEngineers #InteractiveSession #engineers"
48,"Does this change the way you think about the metaverse?In this advertisement, a virtual world avatar enters the real world to escape, and she…After watching this, I was sure to enjoy some real ice cream last night in the real world. Hope you will enjoy some yourself, too!If you are wondering why we love ice cream, check out “The Science Behind Why We Love Ice Cream” by Shirley S. Wang, from The Wall Street Journal, November 2010, https://lnkd.in/gzp37v3cFull video: https://lnkd.in/gTMDPJnA#magnum #notavailableinthemetaverse #metaverse #future"
49,I’m #hiring. Know anyone who might be interested?Mail you resume to trapti.sharma@publicissapient.com
50,"Hey social media teams 👋 Sprinklr Social is now available out-of-the-box with publishing and engagement capabilities powered by OpenAI's ChatGPT – helping you create better content, more quickly, with fewer resources.Kickstart your 90-day free trial ➡️ http://ms.spr.ly/6045gESjc#UnifiedCXM #ChatGPT #socialmediamanagement"
51,"Don’t Look Up : Déni Cosmique sera projeté au Grand Rex le 12 avril !À l’occasion de CINEMA FOR CHANGE, le festival engagé pour le développement durable, vous pourrez assister à une projection événement du film Don’t Look Up : Déni Cosmique suivie d'un débat animé par Juliette Quef, journaliste et fondatrice de Vert, le média qui annonce la couleur, en présence de Camille Etienne, activiste pour le climat et Vincent Mignerot, essayiste en collapsologie.L’occasion de revoir ce film qui a marqué les esprits et les consciences !#climat #climateaction #netflix #developpementdurable"
52,"Last Month, I was offered the privilege of meeting the Chancellor of Sathyabama Institute of Science and Technology, Dr. Mariazeena Johnson and was extremely delighted to present her with my first book that I’ve authored Ancient Empty Streets. She responded with immense optimism, more than I expected. I’m grateful for the opportunity. #grateful #author #engineering #writer #writerscommunity #opportunity #poetry"
53,"On-premises contact centers are confined to a single communication channel, burdened by the need for expensive hardware and IT infrastructure. The solution: a cloud-based contact center on a unified platform 💪  http://ms.spr.ly/6006g1XIi#ccaas #cloudmigration #unifiedcxm"
54,12 Divine Mandir Treks that every Devotee must undertake at least once1. Shri Kedarnath Dham Trek#india #linkedin
55,"👥 Building a Dream Team: The Key to Success.👀 Find Like-Minded People Who Believe in Your Vision.🤝 Hold Them Close and Achieve Your Dreams Together.🤝 When you FIND them, hold them CLOSE to you.✅ Because these are theTRUE PASSIONATE individuals that will work together to achieve your shared vision.⬇️ The importance of building a dream team:👁️‍🗨️ After you have a vision for your organisation and a plan of execution, you need to have like-minded people who BELIEVE in the same dream as you.❤️ Liked this post? Want to see more of such helpful content?📁 Check out Ozibook’s  profile.☎️ Connect with us. #leadership #entrepreneurship #businessstrategy #motivation #ozibookJay EnumulaAnuroop Kothamasu Rithesh DarishAnant RazdanKeerthana S"
56,"An action packed day at Oracle #CloudWorld, Singapore for Infosys. We showcased how Infosys and Oracle help companies transform to cloud-connected enterprise. infy.com/40Fnb5W #OCW #InfosysOracleServices #InfosysCobalt #InfyatOCWTour23Sreekumar Sreedharan Raghu Boddupally Newin Durai Chinmay Jain Charudatta Joshi Srikanth Sripathi Mayank Kumar Vijay Khanna Ramachandran"
57,"HELP! It's been more than 3 months since I left amazon. I've had opportunities taken out from under me and dealt with a staggering amount of rejection emails. I have spent tirelessly networking and applying for jobs. Needless to say, I am exhausted.Can’t lie, this sucks. And this is hard for me to be this vulnerable on a work & achievement-based platform.“Oh you’ll find something immediately, you’re so talented!” And yes, I am very talented, but so are the hundreds of other people submitting applications for the same roles.I absolutely hate selling myself short. But I am not slowing down.You would be doing me a solid if you shared this post with your network, if you can help in any other way, please do not hesitate to reach out to me.#jobs #opportunities #networking #reference #openforwork #help"
